ID	NAME	STYLE	RANK	YEAR	AUTHOR												
T114	five hundred miles high	fusion		1973	chick corea 												
T115	watermelon man	fusion		1973	herbie hancock												
T116	sanctuary mahavishnu	fusion		1973	john mclaughlin												
T117	black narcissus	postbop;modaljazz;hardbop		1976	joe henderson												
T118	bright size life	fusion		1976	pat metheny												
T119	lakes	fusion		1977	pat metheny												
T120	the dolphin	fusion		1981	stan getz												
T121	city gate	fusion		1986	chick corea 												
T122	nuages	other		1940	django reinhardt												
T123	virgo	postbop;modaljazz;hardbop		1964	wayne shorter												
T124	self portrait in three colors	postbop;modaljazz;hardbop		1959	charles mingus												
T125	smooch	postbop;modaljazz;hardbop		1953	charles mingus												
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
